City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Nioaque,BR,2022-05-01 21:22:17,-21.1353,-55.83,84.04,39,47,2.13
67,East London,ZA,2022-05-01 21:22:18,-33.0153,27.9116,62.62,77,0,8.3
68,Vayalar,IN,2022-05-01 21:22:19,9.7,76.3333,80.11,86,100,6.11
69,Poum,NC,2022-05-01 21:22:19,-20.2333,164.0167,77.67,79,8,3.65
70,Salalah,OM,2022-05-01 21:22:20,17.0151,54.0924,86.09,79,40,4.61
71,Rockport,US,2022-05-01 21:22:20,28.0206,-97.0544,87.82,77,0,18.41
72,Samarai,PG,2022-05-01 21:22:21,-10.6167,150.6667,80.74,80,37,8.66
73,Hithadhoo,MV,2022-05-01 21:21:19,-0.6,73.0833,85.6,69,100,16.04
74,Kaitangata,NZ,2022-05-01 21:22:21,-46.2817,169.8464,49.84,90,15,5.03
75,Nikolskoye,RU,2022-05-01 21:22:22,59.7035,30.7861,40.91,88,62,5.12
76,Barra Do Garcas,BR,2022-05-01 21:22:22,-15.89,-52.2567,79.03,44,2,2.3
77,Sinnamary,GF,2022-05-01 21:22:23,5.3833,-52.95,79.83,79,36,11.07
78,Thompson,CA,2022-05-01 21:22:24,55.7435,-97.8558,28.56,80,100,13.8
79,Karratha,AU,2022-05-01 21:22:24,-20.7377,116.8463,80.06,50,100,11.83
80,Vryburg,ZA,2022-05-01 21:22:25,-26.9566,24.7284,56.1,30,0,5.93
81,Albany,US,2022-05-01 21:18:49,42.6001,-73.9662,68.92,28,100,3.0
82,Estelle,US,2022-05-01 21:22:26,29.8458,-90.1067,86.0,63,40,11.5
83,Lake Jackson,US,2022-05-01 21:22:26,29.0339,-95.4344,88.03,73,75,18.41
84,Dikson,RU,2022-05-01 21:22:27,73.5069,80.5464,6.73,99,100,11.21
85,Lucknow,IN,2022-05-01 21:22:28,26.85,80.9167,82.38,74,40,8.05
86,Hasaki,JP,2022-05-01 21:22:28,35.7333,140.8333,50.4,66,100,19.84
87,Acajutla,SV,2022-05-01 21:22:29,13.5928,-89.8275,86.43,63,100,7.81
88,Kizilskoye,RU,2022-05-01 21:22:29,52.7255,58.8937,40.39,63,12,13.44
89,Tilichiki,RU,2022-05-01 21:22:30,60.4667,166.1,18.7,88,26,6.46
90,Santiago,CL,2022-05-01 21:18:38,-33.4569,-70.6483,70.99,40,0,12.66
91,Chokurdakh,RU,2022-05-01 21:23:31,70.6333,147.9167,22.68,97,83,10.94
92,Pemberton,CA,2022-05-01 21:23:31,50.3164,-122.8027,60.49,91,100,3.47
93,Abha,SA,2022-05-01 21:23:32,18.2164,42.5053,66.02,72,0,3.44
94,Esperance,AU,2022-05-01 21:23:32,-33.8667,121.9,53.44,68,0,6.4
95,Maymyo,MM,2022-05-01 21:23:33,22.0333,96.4667,69.89,67,4,1.97
96,Dolores,AR,2022-05-01 21:23:34,-36.3132,-57.6792,52.65,68,20,10.45
97,Khatanga,RU,2022-05-01 21:23:34,71.9667,102.5,11.64,92,96,8.59
98,Husavik,IS,2022-05-01 21:23:35,66.0449,-17.3389,28.13,76,100,9.78
99,Broome,US,2022-05-01 21:23:35,42.2506,-75.833,70.45,26,20,9.22
100,Souillac,MU,2022-05-01 21:23:36,-20.5167,57.5167,71.98,94,40,3.44
101,Margate,GB,2022-05-01 21:23:36,51.3813,1.3862,53.31,73,100,1.01
102,San Policarpo,PH,2022-05-01 21:23:37,12.1791,125.5072,80.24,79,99,7.4
103,Remetea Chioarului,RO,2022-05-01 21:23:37,47.5333,23.55,53.96,62,96,2.3
104,Saint-Francois,FR,2022-05-01 21:23:38,46.4154,3.9054,49.68,81,0,3.44
105,Hofn,IS,2022-05-01 21:23:39,64.2539,-15.2082,38.25,59,100,11.77
106,Yellowknife,CA,2022-05-01 21:23:39,62.456,-114.3525,43.32,52,20,16.11
107,Vardo,NO,2022-05-01 21:23:40,70.3705,31.1107,27.61,59,91,1.43
108,Superior,US,2022-05-01 21:23:41,46.7208,-92.1041,47.37,94,100,9.22
109,Dingle,PH,2022-05-01 21:23:41,10.9995,122.6711,76.01,89,100,5.39
110,Hutchinson,US,2022-05-01 21:19:34,38.0608,-97.9298,73.72,26,0,9.22
111,Ossora,RU,2022-05-01 21:23:42,59.2353,163.0719,28.58,86,78,0.29
112,Castro,BR,2022-05-01 21:23:43,-24.7911,-50.0119,62.69,90,38,3.44
113,Miass,RU,2022-05-01 21:23:43,55.045,60.1083,33.71,75,25,9.4
114,Dargaville,NZ,2022-05-01 21:23:44,-35.9333,173.8833,60.28,82,100,4.68
115,Henties Bay,NA,2022-05-01 21:23:44,-22.116,14.2845,61.95,74,0,3.09
116,Saint-Pierre,RE,2022-05-01 21:23:45,-21.3393,55.4781,74.91,75,0,4.61
117,Isangel,VU,2022-05-01 21:23:46,-19.55,169.2667,84.31,84,75,2.3
118,Petropavlovsk-Kamchatskiy,RU,2022-05-01 21:23:46,53.0452,158.6483,36.19,65,0,8.95
119,Port Elizabeth,ZA,2022-05-01 21:23:47,-33.918,25.5701,60.31,86,0,4.61
