City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Muroto,JP,60.84,overcast clouds,33.2833,134.15,Oota Ryokan
183,Port Shepstone,ZA,62.46,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
186,Casas Grandes,MX,75.97,clear sky,30.3667,-107.95,Pueblo del Soul B&B
188,Mendi,PG,67.95,scattered clouds,-6.1761,143.6513,Kiburu Lodge
191,Nouakchott,MR,66.13,clear sky,18.0858,-15.9785,HOTEL IMAN
192,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
193,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
194,Lagoa,PT,60.96,clear sky,39.05,-27.9833,Casa Das Faias
198,Flinders,AU,73.38,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
206,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
208,Wanning,CN,69.21,overcast clouds,18.8003,110.3967,Paradise Hotel
210,Bataipora,BR,74.77,broken clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
211,Touros,BR,79.18,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
214,Codrington,AU,66.97,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
215,Cockburn Town,TC,75.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
217,Tuatapere,NZ,61.14,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
219,Dargaville,NZ,68.61,overcast clouds,-35.9333,173.8833,Parkview Motel
220,Hervey Bay,AU,71.02,light rain,-25.2986,152.8535,Shelly Bay Resort
222,Rondonopolis,BR,74.17,clear sky,-16.4708,-54.6356,Serras Hotel
223,Marsh Harbour,BS,74.46,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
226,Ahipara,NZ,68.58,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
228,La Cruz,MX,76.82,broken clouds,23.9167,-106.9,Jesús angel
230,Prainha,BR,74.53,overcast clouds,-1.8,-53.48,Casa Rocha
233,North Bend,US,63.25,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
235,Wang Saphung,TH,73.42,broken clouds,17.301,101.7685,โรงแรมวังรีสอร์ท
240,Oyama,JP,60.58,scattered clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
244,Ngunguru,NZ,66.22,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
247,Le Port,RE,73.62,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
248,Mineiros,BR,67.46,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
255,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
259,Monkey Hill,KN,79.14,few clouds,17.3167,-62.7167,St. Kitts Marriott Resort & The Royal Beach Casino
264,Ukiah,US,76.64,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
267,Portland,US,67.66,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
269,Kapit,MY,79.39,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
271,Asyut,EG,71.78,few clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
274,Sao Joao Da Barra,BR,76.3,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
275,Kuching,MY,77.22,moderate rain,1.55,110.3333,Hilton Kuching
276,Port Macquarie,AU,70.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
278,Sakakah,SA,69.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
279,Winton,US,77.99,clear sky,37.3894,-120.6133,Applegate Inn
286,Muisne,EC,76.48,overcast clouds,0.6,-80.0333,Quinta Samay
295,Lompoc,US,67.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
296,Payo,ID,76.62,overcast clouds,-3.7508,103.6372,Mess keban agung
297,Byron Bay,AU,73.29,scattered clouds,-28.65,153.6167,Backpackers Inn
299,Inhambane,MZ,68.38,light rain,-23.865,35.3833,Oceano
300,Boma,GH,73.26,overcast clouds,7.0805,-2.1697,Obaatanpa Hotel
301,Jining,CN,71.87,clear sky,35.405,116.5814,Yunhe Star Hotel
307,Humaita,BR,75.27,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
308,Alice Springs,AU,65.75,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
311,Chiredzi,ZW,61.43,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
312,Bagotville,AU,73.22,broken clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
314,Ipora,BR,68.13,clear sky,-16.4419,-51.1178,Oásis Motel
316,Naze,JP,65.32,overcast clouds,28.3667,129.4833,Shishime Hotel
317,Jacareacanga,BR,74.44,broken clouds,-6.2222,-57.7528,Casa do Ian😎
318,Basco,PH,79.05,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
321,Black River,JM,77.95,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
323,Baruun-Urt,MN,60.19,scattered clouds,46.6806,113.2792,Ахмадын амралт сувилал
324,Porto Novo,BJ,79.83,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
326,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
327,Kahului,US,76.84,broken clouds,20.8947,-156.47,Maui Seaside Hotel
332,Arenapolis,BR,75.63,overcast clouds,-14.4503,-56.8461,Mato Grosso Hotel
333,Lakes Entrance,AU,67.15,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
334,Lalibela,ET,60.37,few clouds,12.0333,39.0333,Honey Land Hotel Lalibela
335,Xai-Xai,MZ,68.14,light rain,-25.0519,33.6442,Complexo da Familia
337,Chanika,TZ,65.07,broken clouds,-5.4167,38.0167,New Rombo Green Hotel
344,Mazamari,PE,72.18,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
346,Arraias,BR,72.64,scattered clouds,-12.9288,-46.9437,Hotel Japão
348,Jawhar,SO,77.43,light rain,2.7809,45.5005,hantiwadaag village part one
350,Sinnamary,GF,77.79,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
351,Qom,IR,64.2,overcast clouds,34.6401,50.8764,Qom Hotel
352,Olinda,BR,78.15,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
356,Ayni,TJ,63.73,overcast clouds,39.3941,68.5377,Меҳмонхона СУҒД
357,Tete,MZ,62.69,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
359,The Valley,AI,79.83,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
361,Marawi,PH,77.63,overcast clouds,7.9986,124.2928,Derogongan Residence
362,Canutama,BR,74.62,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
364,Dalian,CN,60.73,clear sky,38.9122,121.6022,Kempinski Hotel Dalian
366,Bardiyah,LY,68.27,overcast clouds,31.7561,25.0865,بورتو بردية
370,Gasa,PS,61.65,scattered clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
372,Russell,US,74.91,clear sky,32.3502,-85.1999,Macs
376,Cochabamba,BO,64.15,few clouds,-17.3895,-66.1568,Hotel Aranjuez Cochabamba
377,Bowen,AU,78.3,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
